imovel1,imovel2,proporcao_de_iguais,proporcao_de_diferentes,proporcao_de_indeterminados
158912a302a0f0ab1f666f7626e1579b,1226bf8ecffa4e20ac3d2cc34764724f,1.0,0.0,0.0
bc34eeb3daa6020049a35cd28ff09f45,ff102e108002b7b9348a712709cb7207,1.0,0.0,0.0
e34fb9c49556fa6a4c3d024722f3a864,ff102e108002b7b9348a712709cb7207,1.0,0.0,0.0
bc34eeb3daa6020049a35cd28ff09f45,e34fb9c49556fa6a4c3d024722f3a864,1.0,0.0,0.0
a4cb5e442358ce0a472c20cb86114da1,83f9b02de2605723e19d91e5e6e51b91,1.0714285714285714,-0.2857142857142856,0.21428571428571427
a4cb5e442358ce0a472c20cb86114da1,bc2d89180ac50603aa107aa0d5096586,1.0714285714285714,-0.2857142857142856,0.21428571428571427
a4cb5e442358ce0a472c20cb86114da1,b3b51bf74b8a32d1d167acb7d282d5c8,1.0,-0.2142857142857142,0.21428571428571427
a4cb5e442358ce0a472c20cb86114da1,c2464e50abbb957552934ce7bc4bea7e,1.0714285714285714,-0.2857142857142856,0.21428571428571427
a4cb5e442358ce0a472c20cb86114da1,51050351feae1e3538a1434ece211e8e,1.0714285714285714,-0.2857142857142856,0.21428571428571427
83f9b02de2605723e19d91e5e6e51b91,bc2d89180ac50603aa107aa0d5096586,1.0714285714285714,-0.2857142857142856,0.21428571428571427
83f9b02de2605723e19d91e5e6e51b91,b3b51bf74b8a32d1d167acb7d282d5c8,1.0,-0.2142857142857142,0.21428571428571427
83f9b02de2605723e19d91e5e6e51b91,c2464e50abbb957552934ce7bc4bea7e,1.0714285714285714,-0.2857142857142856,0.21428571428571427
83f9b02de2605723e19d91e5e6e51b91,51050351feae1e3538a1434ece211e8e,1.0714285714285714,-0.2857142857142856,0.21428571428571427
bc2d89180ac50603aa107aa0d5096586,b3b51bf74b8a32d1d167acb7d282d5c8,1.0,-0.2142857142857142,0.21428571428571427
bc2d89180ac50603aa107aa0d5096586,c2464e50abbb957552934ce7bc4bea7e,1.0714285714285714,-0.2857142857142856,0.21428571428571427
bc2d89180ac50603aa107aa0d5096586,51050351feae1e3538a1434ece211e8e,1.0714285714285714,-0.2857142857142856,0.21428571428571427
b3b51bf74b8a32d1d167acb7d282d5c8,c2464e50abbb957552934ce7bc4bea7e,1.0357142857142858,-0.2857142857142858,0.25
b3b51bf74b8a32d1d167acb7d282d5c8,51050351feae1e3538a1434ece211e8e,1.0,-0.2142857142857142,0.21428571428571427
51050351feae1e3538a1434ece211e8e,c2464e50abbb957552934ce7bc4bea7e,1.0714285714285714,-0.2857142857142856,0.21428571428571427
e0501417379b47cd0c88ee9acd453a8f,ac2e95f12c24119d913168034e20dd5e,0.9,0.09999999999999998,0.0
e0501417379b47cd0c88ee9acd453a8f,b89da7cbedbe5cd99420479fdfb978d2,0.9,0.09999999999999998,0.0
